respondent_id,q1_ai_job_harder,q2_worry_scale,q3_changed_electives,q4_ai_project_grade,q5_stop_teaching_syntax,q6_bar_raised,q7_ai_code_share
1,A little harder,4,Yes I've changed my focus,Yes they used their tools effectively,No you still need the basics,Yes the bar is much higher now,26-50% (most of the logic)
2,A little harder,3,I'm thinking about it,Only if they can explain every line manually,Yes the old way is becoming obsolete,Yes the bar is much higher now,1-25% (small fixes)
3,Yes much harder,5,I'm thinking about it,Yes they used their tools effectively,Yes the old way is becoming obsolete,Yes the bar is much higher now,Over 50% (AI builds the bulk)
4,A little harder,4,Yes I've changed my focus,Only if they can explain every line manually,Yes the old way is becoming obsolete,Yes the bar is much higher now,1-25% (small fixes)
5,A little harder,3,Yes I've changed my focus,Yes they used their tools effectively,No you still need the basics,Yes the bar is much higher now,26-50% (most of the logic)
6,Yes much harder,4,Yes I've changed my focus,Only if they can explain every line manually,Yes the old way is becoming obsolete,Yes the bar is much higher now,26-50% (most of the logic)
7,A little harder,2,I'm thinking about it,Only if they can explain every line manually,No you still need the basics,Yes the bar is much higher now,1-25% (small fixes)
8,It will actually make it easier,5,I'm thinking about it,Yes they used their tools effectively,No you still need the basics,No expectations are the same,Over 50% (AI builds the bulk)
9,A little harder,3,Yes I've changed my focus,Only if they can explain every line manually,Yes the old way is becoming obsolete,Yes the bar is much higher now,26-50% (most of the logic)
10,A little harder,4,I'm thinking about it,No that's cheating/lazy,No you still need the basics,Yes the bar is much higher now,1-25% (small fixes)
11,Yes much harder,5,Yes I've changed my focus,Yes they used their tools effectively,Yes the old way is becoming obsolete,Yes the bar is much higher now,26-50% (most of the logic)
12,A little harder,1,I'm thinking about it,Only if they can explain every line manually,No you still need the basics,Yes the bar is much higher now,1-25% (small fixes)
13,It will actually make it easier,4,No I'm sticking to my original plan,Yes they used their tools effectively,No you still need the basics,Yes the bar is much higher now,26-50% (most of the logic)
14,A little harder,3,I'm thinking about it,No that's cheating/lazy,No you still need the basics,Yes the bar is much higher now,Over 50% (AI builds the bulk)
15,A little harder,4,I'm thinking about it,Only if they can explain every line manually,No you still need the basics,Yes the bar is much higher now,1-25% (small fixes)
16,Yes much harder,1,Yes I've changed my focus,Yes they used their tools effectively,Yes the old way is becoming obsolete,Yes the bar is much higher now,1-25% (small fixes)
17,A little harder,2,I'm thinking about it,Only if they can explain every line manually,No you still need the basics,Yes the bar is much higher now,26-50% (most of the logic)
18,It will actually make it easier,5,No I'm sticking to my original plan,Yes they used their tools effectively,No you still need the basics,Unsure,Over 50% (AI builds the bulk)
19,A little harder,3,I'm thinking about it,No that's cheating/lazy,No you still need the basics,Yes the bar is much higher now,1-25% (small fixes)
20,Yes much harder,4,Yes I've changed my focus,Only if they can explain every line manually,Yes the old way is becoming obsolete,Yes the bar is much higher now,26-50% (most of the logic)
21,A little harder,2,I'm thinking about it,Yes they used their tools effectively,No you still need the basics,Yes the bar is much higher now,1-25% (small fixes)
22,It will actually make it easier,1,No I'm sticking to my original plan,Yes they used their tools effectively,No you still need the basics,Yes the bar is much higher now,26-50% (most of the logic)
23,Yes much harder,3,I'm thinking about it,Only if they can explain every line manually,No you still need the basics,Yes the bar is much higher now,Over 50% (AI builds the bulk)
